Date,BAC,C,GS,JPM,MS,WFC
2013-06-03,2.6195831864394807,3.9556570336838255,5.09827983749639,4.004784496635078,3.269568910174614,3.7125959583795103
2013-06-04,2.615203656316981,3.9630962553134914,5.110420328564157,4.0143990610258475,3.261935328944346,3.717709791306352
2013-06-05,2.598979091866817,3.9411933738358575,5.093075122622497,3.993971596510244,3.244933353240963,3.702535761746639
2013-06-06,2.583242533221714,3.9290767719945943,5.073860411134479,3.9800554243731057,3.2355362687626434,3.707701167175259
2013-06-07,2.5945081853433165,3.9475832073329893,5.113011349693957,3.99783365343884,3.295836866004329,3.7227976981297513
2013-06-10,2.6063865614020836,3.953548731763259,5.125153729395222,4.004419857476533,3.302113426246278,3.7302612589521673
2013-06-11,2.5862591239406965,3.928880092487117,5.114394491707326,3.9899095299697787,3.2880287177307363,3.7184382748734284
2013-06-12,2.583997552432231,3.9209827619223026,5.105824228535743,3.9908341576476496,3.281662844493389,3.7123518289300783
2013-06-13,2.58475200201879,3.9178062683888313,5.114334426759218,3.993418674577324,3.2767672946436672,3.713328175464447
2013-06-14,2.583242533221714,3.918998588859131,5.112650223177368,3.9913885805412943,3.2763897137816596,3.7150344450367445
2013-06-17,2.58475200201879,3.919792730579953,5.1099978468980245,3.9937872762970072,3.2707089706106127,3.7064737400258836
2013-06-18,2.5907670519258503,3.917010546939185,5.10515725495695,3.993971596510244,3.2733639957026597,3.7128401213538273
2013-06-19,2.5952546784889754,3.918005061937911,5.105521097052016,3.998384140284283,3.2842889834260847,3.71795270901042
2013-06-20,2.5756610391845274,3.8920243246740203,5.075111347615041,3.973682391553418,3.248434627109745,3.705244804447424
2013-06-21,2.5649493574615367,3.8782593784318924,5.05790045163291,3.9699144752036126,3.241028608615061,3.7184382748734284
2013-06-24,2.5217206075906473,3.8292933313094206,5.027820158847182,3.9406104771088137,3.206803274522168,3.7013019741124933
2013-06-25,2.54709870589125,3.8573556073090716,5.038963550261674,3.961955400304418,3.2292221259833838,3.7020424105217087
2013-06-26,2.5533438410275884,3.8674439556484184,5.04058235466836,3.9665111762626046,3.2343553716775335,3.7208624814938767
2013-06-27,2.5672543706433686,3.8854736419898233,5.043360634151013,3.9794947519222346,3.2335674066909457,3.731459941861483
2013-06-28,2.5649493574615367,3.8792931681920515,5.028933550344254,3.972741760566658,3.214064234139732,3.7285807953019794
2013-07-01,2.572612259326932,3.8958936390051617,5.037601781933568,3.9821086329112094,3.222469366459953,3.736716761709046
2013-07-02,2.572612259326932,3.8950802815939305,5.031678996961717,3.980242221601196,3.2264471115656943,3.727619326466775
2013-07-03,2.552565310145607,3.8663978369845307,5.020057420582606,3.9667005927232157,3.185939346699555,3.7208624814938767
2013-07-05,2.5710843401961823,3.883211961265559,5.032331508379547,3.9889840465642745,3.2039651780588203,3.7393348903484296
2013-07-08,2.5930133825543216,3.907412402068045,5.042133980869824,4.0056954785119085,3.2220707127226964,3.7605022261951677
2013-07-09,2.6049094224466427,3.917010546939185,5.059044448810843,4.010419294095021,3.2382862094087446,3.7630588947917776
2013-07-10,2.6049094224466427,3.9168115555689154,5.060187041947121,4.010056773367307,3.2394624764140367,3.751384702468026
2013-07-11,2.608598116512439,3.924741765783165,5.073547527877398,4.02302754435319,3.258096538021482,3.749974564239591
2013-07-12,2.624668605984526,3.928683449322589,5.076922278151877,4.02266949819419,3.2634666848467426,3.762362213151569
2013-07-15,2.634762375230749,3.9543159146930162,5.096139977307182,4.0163830207523885,3.2884018590489204,3.769537371207764
2013-07-16,2.640484914257205,3.959478952405074,5.101694043617524,4.014760080125462,3.292869507610626,3.7716108692704218
2013-07-17,2.6700021044053517,3.958715721769974,5.087534638842559,4.017823457258846,3.2827891362977923,3.781458659748762
2013-07-18,2.6979998909369054,3.964615470024346,5.103396785303188,4.0347714490932995,3.3304172268976893,3.7975096220614057
2013-07-19,2.691920834679226,3.96366626756154,5.105036006542402,4.035302045868568,3.3271919902594687,3.8013148459444657
2013-07-22,2.707383296845538,3.970291913552122,5.113973777811009,4.037244937870698,3.3257551755256425,3.801761583910601
2013-07-23,2.7100481859984953,3.9759363168577377,5.120445915302787,4.041119568033929,3.3279095557906944,3.8019849206596494
2013-07-24,2.70805020110221,3.9734942930785055,5.117334909098103,4.0418224483235345,3.3314899528769466,3.800644407210827
2013-07-25,2.6979998909369054,3.964615470024346,5.111987788356544,4.034240638152395,3.3235961438836266,3.7891772030345265
2013-07-26,2.691920834679226,3.9600509569868145,5.109877091900051,4.029272587191355,3.3253956490420755,3.777348119560113
2013-07-29,2.6878474808095296,3.95028173223127,5.104914650852011,4.02535169073515,3.3170908695988777,3.7727609380946383
2013-07-30,2.6830742228543785,3.9512437185814275,5.099927368082157,4.025173133338776,3.3141860046725258,3.775974146978812
2013-07-31,2.6979998909369054,3.969536894341605,5.1118070564875895,4.030161541580316,3.3149130296989973,3.785325335062337
2013-08-01,2.7060482162691324,3.9740584106885657,5.123368527731406,4.039184129546003,3.3314899528769466,3.800867993578004
2013-08-02,2.7020321185427174,3.9712348506784756,5.123368527731406,4.034594565915471,3.332918557245894,3.7966121367913535
2013-08-05,2.697326248021437,3.972365245926523,5.133973257372184,4.035655598235645,3.3318472953500904,3.7966121367913535
2013-08-06,2.691920834679226,3.9644256581575954,5.12562925146832,4.027135785329383,3.32683298007059,3.7914360355532932
2013-08-07,2.678964599261624,3.9442965541590853,5.101267858334363,4.015842356073689,3.302481419950951,3.7729907581560127
2013-08-08,2.6878474808095296,3.953548731763259,5.11457475659083,4.02051859336749,3.315276344096234,3.7743688331250866
2013-08-09,2.681706202263446,3.9512437185814275,5.100476035289924,4.010056773367307,3.3035845191484308,3.7699985300210246
2013-08-12,2.6720775590973527,3.934175789175006,5.089939297504583,3.99489247763233,3.2827891362977923,3.7711504535735734
2013-08-13,2.6823904464939363,3.954124210706204,5.103214493935431,4.0018637233756404,3.2991646617296317,3.769537371207764
2013-08-14,2.691243082785829,3.9596696327076457,5.104732635993319,4.004602158902116,3.300640095737062,3.7734503275214046
2013-08-15,2.6720775590973527,3.9337844673490143,5.087411140434906,3.9830404983485193,3.2771447329921766,3.76398690182998
2013-08-16,2.6720775590973527,3.9333930670111408,5.089384816958222,3.984901628142631,3.2805352109934725,3.7653774321541875
2013-08-19,2.66583836025124,3.9146196525823185,5.080099124000817,3.9693480864560926,3.2760119902984917,3.760734880563744
2013-08-20,2.66583836025124,3.917010546939185,5.075361290029934,3.958142952698528,3.2718477327887663,3.753496054287916
2013-08-21,2.6727683553440564,3.910822257352808,5.0703496710363245,3.9554655866471435,3.2729851273870945,3.753496054287916
2013-08-22,2.6810215548423537,3.9174084868105843,5.073046577154577,3.963856151170558,3.2763897137816596,3.7525582558326014
2013-08-23,2.687166961621,3.9186013571692473,5.073860411134479,3.9592881629648002,3.2714682894644005,3.757238834378964
2013-08-26,2.6878474808095296,3.918799992738316,5.0795392537530635,3.9615748016827332,3.2835393410545883,3.757238834378964
2013-08-27,2.667922399422403,3.8987351141937907,5.053247677101607,3.9425521956629797,3.2600177389118725,3.7355244582961333
2013-08-28,2.6567569067146595,3.890390711538019,5.037926114737506,3.932805529665729,3.249986855392568,3.727619326466775
2013-08-29,2.6602595506039637,3.8897774276848933,5.041358419388315,3.9353488366944362,3.2588654906771213,3.7295414321701306
2013-08-30,2.6567569067146595,3.885884329022981,5.036822696103047,3.9284867674819206,3.259633852498868,3.7237638117604193
2013-09-03,2.66583836025124,3.9088178775407525,5.050112341611877,3.945844577505805,3.2767672946436672,3.7340917604748167
2013-09-04,2.6672281800910014,3.9110225203686255,5.05783689558055,3.953164919471818,3.2872818746321366,3.7316994512968646
2013-09-05,2.6775910067264266,3.9160150418956805,5.062911457970439,3.961194058150583,3.2950958338128316,3.7376696182833684
2013-09-06,2.6741486494265287,3.915616547019898,5.060757946070432,3.9648051734979757,3.2973172850330226,3.7381457063108017
2013-09-09,2.673458740536743,3.914420108716709,5.07329703611165,3.973870382935632,3.3123661957493264,3.730980659391994
2013-09-10,2.687166961621,3.9421641386509587,5.109152439897561,3.9876869150078744,3.337547341034377,3.748562434712996
2013-09-11,2.6864860439749103,3.934175789175006,5.11072188675516,3.984529664993413,3.3463891317351275,3.750209680563376
2013-09-12,2.6864860439749103,3.9271086097794647,5.107822484296267,3.983599186871616,3.3442742396467224,3.7532617094663667
2013-09-13,2.6775910067264266,3.9243467340163214,5.10424707013031,3.9665111762626046,3.34109345759245,3.7469124709660657
2013-09-16,2.6864860439749103,3.9406104771088137,5.127351137241339,3.9794947519222346,3.3697067040728217,3.7628266919804427
2013-09-17,2.6823904464939363,3.937300788807751,5.121460860111592,3.9763114895870313,3.3686742214830185,3.762362213151569
2013-09-18,2.695977599275783,3.963856151170558,5.130431095892585,3.9865737168647972,3.3843902633457743,3.780090327203017
2013-09-19,2.6966521510052726,3.9680252157422817,5.135798437050262,3.984343667007772,3.3772461920969765,3.7803185562070047
2013-09-20,2.6851226860500543,3.953164919471818,5.1343267664388055,3.9791207717903223,3.363841581918742,3.7635229617064785
2013-09-23,2.6616571402213416,3.915417201999157,5.126698372741587,3.9585248594712272,3.3332753896735037,3.749974564239591
2013-09-24,2.6567569067146595,3.901568538272798,5.114394491707326,3.937105794724099,3.323956317802816,3.7447870680158384
2013-09-25,2.656054889910667,3.9027804425417814,5.097974410071079,3.949318819572207,3.311637316075133,3.736716761709046
2013-09-26,2.6546494431534917,3.901770662879066,5.099439462759423,3.961955400304418,3.3170908695988777,3.7424202391211
2013-09-27,2.6411978750816676,3.8958936390051617,5.0810937387839115,3.9589066204468226,3.301008631917719,3.7321783894682334
2013-09-30,2.6340448096995233,3.88895907832144,5.069784314114076,3.9529729946864127,3.301377032329494,3.726656840487623
2013-10-01,2.6333266603871603,3.893859003723511,5.0771094254723,3.9529729946864127,3.3054204346646388,3.7273787459232954
2013-10-02,2.6461748244387127,3.8928401704570508,5.072545375354347,3.9598603493883395,3.3032170013511957,3.7198934669628625
2013-10-03,2.6461748244387127,3.891412042178091,5.0699100085677085,3.955082509504291,3.303951971997548,3.7189236050766534
2013-10-04,2.6447553453112924,3.8956903228891546,5.05783689558055,3.9642358826680906,3.2973172850330226,3.7208624814938767
2013-10-07,2.6354794945946245,3.8850627862235276,5.051137217868083,3.958142952698528,3.3002714940173785,3.711130100356308
2013-10-08,2.6318888126927806,3.8805323540837193,5.048894045376102,3.95047417418255,3.295836866004329,3.7079465280591157
2013-10-09,2.6340448096995233,3.8790865272595005,5.045487552019136,3.9384701784150997,3.295836866004329,3.702535761746639
2013-10-10,2.6567569067146595,3.899342930635867,5.0641129025885325,3.961955400304418,3.3217933258352854,3.7249703036941018
2013-10-11,2.6588599382119416,3.8991403919624394,5.078231669560518,3.97687394914647,3.33256159744345,3.725934321629707
2013-10-14,2.6665335447577023,3.910021033336208,5.074673678742328,3.967268482541859,3.340385226049894,3.7352858633452493
2013-10-15,2.669309393934482,3.9118230190015297,5.075423742037851,3.9710463631386803,3.3418011878980587,3.7371933034881595
2013-10-16,2.681706202263446,3.9298629535344514,5.090678001769792,3.9899095299697787,3.3586377672433594,3.7525582558326014
2013-10-17,2.6851226860500543,3.936130104603927,5.07016125424095,3.9943400647810057,3.365915535904002,3.7556030469036443
2013-10-18,2.689207131441274,3.9390543236865887,5.07329703611165,3.9996675488282807,3.400196858417477,3.7598037604690084
2013-10-21,2.6803363729930827,3.9429401021451675,5.079228047569239,4.004602158902116,3.3901364368741476,3.757939004286018
2013-10-22,2.6830742228543785,3.9394435891272837,5.079601540337266,4.001498017436871,3.3894621125779762,3.762362213151569
2013-10-23,2.6727683553440564,3.922567195145829,5.063101245582646,3.9770614130457407,3.3772461920969765,3.7605022261951677
2013-10-24,2.653241951175182,3.9182038917998083,5.077358964202872,3.9682142735378703,3.3820145726149287,3.760734880563744
2013-10-25,2.6581594635674883,3.917209498719767,5.089076754261077,3.9685923540321264,3.381334747377604,3.7595708893451527
2013-10-28,2.6616571402213416,3.9186013571692473,5.088768502552353,3.9719885894697162,3.3758795736778655,3.7609675695513807
2013-10-29,2.6595599892722888,3.921180925069286,5.094424823567902,3.9701032481798313,3.3796332245348557,3.7625945238287155
2013-10-30,2.6595599892722888,3.9219733362813143,5.093566142278252,3.9748100250533343,3.3830333799575203,3.770459476264859
2013-10-31,2.6504210774895927,3.906809472120067,5.095895175411729,3.9648051734979757,3.3755376270538817,3.7665346880905126
2013-11-01,2.6461748244387127,3.8922283874382706,5.091293234650706,3.9648051734979757,3.386083718033513,3.7621299371250747
